Time [Sec] - Base	g - Base	Time [Sec] - Ground	g - Ground
0,0416	0,0305173	0,0416	-0,0139988
0,0418	0,0351714	0,0418	0,0348803
0,042	0,0400361	0,042	0,0740591
0,0422	0,0448322	0,0422	0,0996971
0,0424	0,0493412	0,0424	0,110105
0,0426	0,0534156	0,0426	0,105914
0,0428	0,0569826	0,0428	0,089884
0,043	0,0600298	0,043	0,0664195
0,0432	0,0625838	0,0432	0,040829
0,0434	0,0646843	0,0434	0,0184915
0,0436	0,0663567	0,0436	0,00405102
0,0438	0,0675855	0,0438	0,000732613
0,044	0,0683044	0,044	0,00992242
0,0442	0,0683887	0,0442	0,0310467
0,0444	0,067669	0,0444	0,0617295
0,0446	0,0659573	0,0446	0,0982481
0,0448	0,0630814	0,0448	0,136133
0,045	0,0589259	0,045	0,170857
0,0452	0,0534735	0,0452	0,198481
0,0454	0,0468302	0,0454	0,216161
0,0456	0,0392459	0,0456	0,222461
0,0458	0,0311061	0,0458	0,21742
0,046	0,0229128	0,046	0,202391
0,0462	0,0152401	0,0462	0,179706
0,0464	0,00867683	0,0464	0,152204
0,0466	0,00376194	0,0466	0,122752
0,0468	0,000918308	0,0468	0,0938055
0,047	0,000396706	0,047	0,0670882
0,0472	0,00223928	0,0472	0,0434435
0,0474	0,00626333	0,0474	0,0228502
0,0476	0,0120737	0,0476	0,00459462
0,0478	0,0191006	0,0478	-0,0124402
0,048	0,0266581	0,048	-0,0294439
0,0482	0,0340224	0,0482	-0,0473702
0,0484	0,0405106	0,0484	-0,0666819
0,0486	0,0455616	0,0486	-0,0872434
0,0488	0,0487969	0,0488	-0,108312
0,049	0,0500627	0,049	-0,128671
0,0492	0,0494432	0,0492	-0,146835
0,0494	0,047247	0,0494	-0,161323
0,0496	0,0439649	0,0496	-0,1709
0,0498	0,0402089	0,0498	-0,1748
0,05	0,0366348	0,05	-0,172841
0,0502	0,0338622	0,0502	-0,165458
0,0504	0,0324022	0,0504	-0,153607
0,0506	0,0325995	0,0506	-0,138626
0,0508	0,0345979	0,0508	-0,122021
0,051	0,0383302	0,051	-0,105254
0,0512	0,0435354	0,0512	-0,089577
0,0514	0,0497944	0,0514	-0,0759003
0,0516	0,0565872	0,0516	-0,0647321
0,0518	0,0633559	0,0518	-0,0562105
0,052	0,0695705	0,052	-0,0501586
0,0522	0,0747846	0,0522	-0,0461988
0,0524	0,0786786	0,0524	-0,0438567
0,0526	0,0810803	0,0526	-0,0426405
0,0528	0,0819681	0,0528	-0,0421007
0,053	0,0814521	0,053	-0,0418206
0,0532	0,0797428	0,0532	-0,0414222
0,0534	0,0771064	0,0534	-0,0405215
0,0536	0,0738189	0,0536	-0,038702
0,0538	0,070122	0,0538	-0,0355207
0,054	0,0661883	0,054	-0,0305221
0,0542	0,0621016	0,0542	-0,0233118
0,0544	0,0578533	0,0544	-0,0136626
0,0546	0,0533548	0,0546	-0,00159833
0,0548	0,0484644	0,0548	0,0125024
0,055	0,0430217	0,055	0,0278918
0,0552	0,0368887	0,0552	0,0434965
0,0554	0,0299873	0,0554	0,0580174
0,0556	0,0223294	0,0556	0,070117
0,0558	0,0140364	0,0558	0,0786343
0,056	0,00534046	0,056	0,0827719
0,0562	-0,00342839	0,0562	0,0822858
0,0564	-0,0118701	0,0564	0,0775435
0,0566	-0,0195563	0,0566	0,0694917
0,0568	-0,0260761	0,0568	0,0595126
0,057	-0,0310845	0,057	0,0491588
0,0572	-0,034346	0,0572	0,0398277
0,0574	-0,0357669	0,0574	0,0324568
0,0576	-0,0354126	0,0576	0,0272201
0,0578	-0,0335078	0,0578	0,023413
0,058	-0,0304173	0,058	0,0194551
0,0582	-0,0266116	0,0582	0,0130967
0,0584	-0,0226193	0,0584	0,00180169
0,0586	-0,0189721	0,0586	-0,0167935
0,0588	-0,0161498	0,0588	-0,0443489
0,059	-0,0145291	0,059	-0,0813563
0,0592	-0,0143453	0,0592	-0,126846
0,0594	-0,0156683	0,0594	-0,178259
0,0596	-0,0183983	0,0596	-0,231624
0,0598	-0,0222788	0,0598	-0,282007
0,06	-0,0269291	0,06	-0,324124
0,0602	-0,0318878	0,0602	-0,353132
0,0604	-0,0366665	0,0604	-0,365379
0,0606	-0,0408037	0,0606	-0,359041
0,0608	-0,0439152	0,0608	-0,334518
0,061	-0,0457338	0,061	-0,294503
0,0612	-0,046135	0,0612	-0,243702
0,0614	-0,0451443	0,0614	-0,188198
0,0616	-0,0429297	0,0616	-0,134582
0,0618	-0,0397754	0,0618	-0,0889695
0,062	-0,0360449	0,062	-0,0560493
0,0622	-0,0321362	0,0622	-0,0383485
0,0624	-0,0284333	0,0624	-0,0358334
0,0626	-0,0252639	0,0626	-0,0458961
0,0628	-0,0228644	0,0628	-0,0638024
0,063	-0,0213584	0,063	-0,0834737
0,0632	-0,0207507	0,0632	-0,0985402
0,0634	-0,020935	0,0634	-0,103455
0,0636	-0,0217149	0,0636	-0,0945027
0,0638	-0,0228362	0,0638	-0,0705153
0,064	-0,0240229	0,064	-0,0331732
0,0642	-0,025017	0,0642	0,0131914
0,0644	-0,0256111	0,0644	0,062236
0,0646	-0,0256747	0,0646	0,106646
0,0648	-0,0251668	0,0648	0,139359
0,065	-0,0241368	0,065	0,154805
0,0652	-0,022712	0,0652	0,149942
0,0654	-0,0210769	0,0654	0,124899
0,0656	-0,019444	0,0656	0,0831258
0,0658	-0,0180234	0,0658	0,0309871
0,066	-0,0169932	0,066	-0,023123
0,0662	-0,0164759	0,0662	-0,0700457
0,0664	-0,016525	0,0664	-0,101266
0,0666	-0,0171227	0,0666	-0,11028
0,0668	-0,0181877	0,0668	-0,0936721
0,067	-0,019594	0,067	-0,0517307
0,0672	-0,0211951	0,0672	0,0114747
0,0674	-0,0228508	0,0674	0,0886353
0,0676	-0,0244529	0,0676	0,170184
0,0678	-0,0259464	0,0678	0,245684
0,068	-0,0273396	0,068	0,305306
0,0682	-0,0287077	0,0682	0,341228
0,0684	-0,0301816	0,0684	0,348717
0,0686	-0,0319314	0,0686	0,326762
0,0688	-0,0341408	0,0688	0,278095
0,069	-0,036979	0,069	0,208764
0,0692	-0,0405731	0,0692	0,127131
0,0694	-0,0449854	0,0694	0,0426675
0,0696	-0,050197	0,0696	-0,0354291
0,0698	-0,056103	0,0698	-0,0994733
0,07	-0,062516	0,07	-0,144267
0,0702	-0,0691805	0,0702	-0,16762
0,0704	-0,075795	0,0704	-0,170424
0,0706	-0,0820381	0,0706	-0,15623
0,0708	-0,0875985	0,0708	-0,130495
0,071	-0,0922015	0,071	-0,0995688
0,0712	-0,0956338	0,0712	-0,0696519
0,0714	-0,0977592	0,0714	-0,0458327
0,0716	-0,0985283	0,0716	-0,0313973
0,0718	-0,0979791	0,0718	-0,0274644
0,072	-0,0962302	0,072	-0,0330092
0,0722	-0,0934665	0,0722	-0,0452362
0,0724	-0,0899216	0,0724	-0,0601997
0,0726	-0,0858562	0,0726	-0,0735827
0,0728	-0,0815369	0,0728	-0,0814685
0,073	-0,0772151	0,073	-0,0809896
0,0732	-0,0731111	0,0732	-0,07078
0,0734	-0,0693996	0,0734	-0,0511373
0,0736	-0,0662003	0,0736	-0,0239104
0,0738	-0,0635738	0,0738	0,00784616
0,074	-0,0615204	0,074	0,0404274
0,0742	-0,0599836	0,0742	0,0700808
0,0744	-0,0588579	0,0744	0,0936085
0,0746	-0,0579981	0,0746	0,108856
